[2025-05-09 15:21:43] Game started between: Hayk and AI Player
[2025-05-09 15:21:43] 
Hayk's initial board:
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] 
[2025-05-09 15:21:43] 
AI Player's initial board:
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:43] 
[2025-05-09 15:21:46] Hayk's ships placed:
[2025-05-09 15:21:46] 
Hayk's final ship positions:
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ □ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ □ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] 
[2025-05-09 15:21:46] AI Player's ships placed:
[2025-05-09 15:21:46] 
AI Player's final ship positions:
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ □ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ]
[2025-05-09 15:21:46] [ ~ ~ ~ ~ ~ ~ ~ □ ~ ~ ]
[2025-05-09 15:21:46] 
[2025-05-09 15:21:49] Hayk inventory: 2 weapons, Budget: $180
[2025-05-09 15:21:49] AI Player inventory: 3 weapons, Budget: $100
[2025-05-09 15:21:57] Hayk used Basic Attack on (4, 5) → MISS
[2025-05-09 15:21:57] Hayk used Basic at (4, 5) on AI Player (Weapons left: 2)
[2025-05-09 15:21:57] AI Player used Basic Attack on (2, 0) → MISS
[2025-05-09 15:21:57] AI Player used Basic Attack on (2, 1) → MISS
[2025-05-09 15:21:57] AI Player used Basic Attack on (2, 2) → MISS
[2025-05-09 15:21:57] AI Player used Basic Attack on (2, 3) → MISS
[2025-05-09 15:21:57] AI Player used Basic Attack on (2, 4) → MISS
[2025-05-09 15:21:57] AI Player used Basic Attack on (2, 5) → MISS
[2025-05-09 15:21:57] AI Player used Basic Attack on (2, 6) → MISS
[2025-05-09 15:21:57] AI Player used Basic Attack on (2, 7) → MISS
[2025-05-09 15:21:57] AI Player used Basic Attack on (2, 8) → MISS
[2025-05-09 15:21:57] AI Player used Basic Attack on (2, 9) → MISS
[2025-05-09 15:22:00] Hayk used Basic Attack on (7, 3) → MISS
[2025-05-09 15:22:00] Hayk used Basic at (7, 3) on AI Player (Weapons left: 2)
[2025-05-09 15:22:00] AI Player used Basic Attack on (4, 8) → MISS
[2025-05-09 15:22:00] AI Player used Basic Attack on (4, 9) → MISS
[2025-05-09 15:22:00] AI Player used Basic Attack on (5, 8) → MISS
[2025-05-09 15:22:00] AI Player used Basic Attack on (5, 9) → MISS
[2025-05-09 15:22:00] AI Player used Basic Attack on (6, 8) → MISS
[2025-05-09 15:22:00] AI Player used Basic Attack on (6, 9) → MISS
[2025-05-09 15:22:01] Hayk used Basic Attack on (4, 1) → MISS
[2025-05-09 15:22:01] Hayk used Basic at (4, 1) on AI Player (Weapons left: 2)
[2025-05-09 15:22:01] AI Player used Basic Attack on (0, 2) → MISS
[2025-05-09 15:22:01] AI Player used Basic Attack on (1, 2) → MISS
[2025-05-09 15:22:01] AI Player used Basic Attack on (3, 2) → HIT
[2025-05-09 15:22:01] AI Player used Basic Attack on (4, 2) → MISS
[2025-05-09 15:22:01] AI Player used Basic Attack on (5, 2) → MISS
[2025-05-09 15:22:01] AI Player used Basic Attack on (6, 2) → MISS
[2025-05-09 15:22:01] AI Player used Basic Attack on (7, 2) → MISS
[2025-05-09 15:22:01] AI Player used Basic Attack on (8, 2) → MISS
[2025-05-09 15:22:01] AI Player used Basic Attack on (9, 2) → MISS
[2025-05-09 15:22:03] Hayk used Basic Attack on (6, 8) → MISS
[2025-05-09 15:22:03] Hayk used Basic at (6, 8) on AI Player (Weapons left: 2)
[2025-05-09 15:22:03] AI Player used Basic Attack on (6, 5) → MISS
[2025-05-09 15:22:04] Hayk used Basic Attack on (2, 8) → MISS
[2025-05-09 15:22:04] Hayk used Basic at (2, 8) on AI Player (Weapons left: 2)
[2025-05-09 15:22:04] AI Player used Basic Attack on (5, 1) → MISS
[2025-05-09 15:22:05] Hayk used Basic Attack on (9, 1) → MISS
[2025-05-09 15:22:05] Hayk used Basic at (9, 1) on AI Player (Weapons left: 2)
[2025-05-09 15:22:05] AI Player used Basic Attack on (3, 7) → MISS
[2025-05-09 15:22:06] Hayk used Basic Attack on (1, 3) → MISS
[2025-05-09 15:22:06] Hayk used Basic at (1, 3) on AI Player (Weapons left: 2)
[2025-05-09 15:22:06] AI Player used Basic Attack on (6, 3) → MISS
[2025-05-09 15:22:07] Hayk used Basic Attack on (8, 8) → MISS
[2025-05-09 15:22:07] Hayk used Basic at (8, 8) on AI Player (Weapons left: 2)
[2025-05-09 15:22:07] AI Player used Basic Attack on (3, 4) → MISS
[2025-05-09 15:22:09] Hayk used Basic Attack on (1, 1) → MISS
[2025-05-09 15:22:09] Hayk used Basic at (1, 1) on AI Player (Weapons left: 2)
[2025-05-09 15:22:09] AI Player used Basic Attack on (7, 1) → MISS
[2025-05-09 15:22:10] Hayk used Basic Attack on (8, 1) → MISS
[2025-05-09 15:22:10] Hayk used Basic at (8, 1) on AI Player (Weapons left: 2)
[2025-05-09 15:22:10] AI Player used Basic Attack on (0, 3) → MISS
[2025-05-09 15:22:11] Hayk used Basic Attack on (4, 4) → MISS
[2025-05-09 15:22:11] Hayk used Basic at (4, 4) on AI Player (Weapons left: 2)
[2025-05-09 15:22:11] AI Player used Basic Attack on (7, 7) → MISS
[2025-05-09 15:22:11] Hayk used Basic Attack on (1, 5) → MISS
[2025-05-09 15:22:11] Hayk used Basic at (1, 5) on AI Player (Weapons left: 2)
